"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Juwan Johnson","NO","5.9","78.1","0.1","0.0","0.0","0.0","0.0","8.3"
"Tajae Sharpe","ATL","4.7","58.7","0.4","0.0","0.0","0.0","0.0","8.0"
"Shi Smith","CAR","5.1","62.3","0.3","0.0","0.0","0.0","0.0","7.8"
"Lil'Jordan Humphrey","NO","4.2","54.7","0.3","0.0","0.0","0.0","0.0","7.5"
"Albert Wilson","MIA","4.6","46.0","0.3","1.6","8.8","0.0","0.0","7.4"
"Riley Ridley","CHI","4.5","53.3","0.3","0.0","0.0","0.0","0.0","7.3"
"Diontae Spencer","DEN","3.6","40.1","0.2","2.4","13.6","0.1","0.0","7.2"
"Ihmir Smith-Marsette","MIN","4.6","60.9","0.1","0.0","0.0","0.0","0.0","6.8"
"Cornell Powell","KC","3.8","48.9","0.3","0.0","0.0","0.0","0.0","6.8"
"Victor Bolden Jr.","DET","4.5","50.5","0.3","0.0","0.0","0.0","0.0","6.6"
"Isaiah Hodgins","BUF","3.7","46.9","0.3","0.0","0.0","0.0","0.0","6.6"
"Jaelon Darden","TB","4.2","48.2","0.3","0.0","0.0","0.0","0.0","6.5"
"J.J. Nelson","IND","3.1","46.2","0.3","0.0","0.0","0.0","0.0","6.4"
"Marcus Johnson","TEN","3.6","43.7","0.3","0.0","0.0","0.0","0.0","6.3"
"Greg Dortch","ARI","4.1","46.9","0.3","0.0","0.0","0.0","0.0","6.3"
"Jakeem Grant Sr.","MIA","3.2","35.1","0.2","1.5","8.4","0.0","0.0","5.9"
"Chester Rogers","TEN","3.9","38.0","0.3","0.0","0.0","0.0","0.0","5.7"
"Gunner Olszewski","NE","2.8","33.8","0.2","1.8","9.6","0.1","0.0","5.7"
"Zay Jones","LV","3.3","37.4","0.3","0.0","0.0","0.0","0.0","5.5"
"Tylan Wallace","BAL","3.0","38.7","0.3","0.0","0.0","0.0","0.0","5.5"
