,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
107,Josh Adams,NYJ,RB,16.6,79.0,1.1,0.9,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0
108,Dontrell Hilliard,HOU,RB,12.3,44.5,1.0,4.9,36.7,0.0,0.0,0.0,0.0,0,0.0,0.0
109,Tony Brooks-James,PIT,RB,24.0,102.2,0.4,1.4,11.1,0.0,0.0,0.0,0.0,0,0.0,0.0
110,Lamar Miller,WAS,RB,14.9,62.1,0.8,3.1,25.0,0.1,0.0,0.0,0.0,0,0.0,0.0
111,JaMycal Hasty,SF,RB,16.6,84.1,0.5,2.2,15.2,0.1,0.0,0.0,0.0,0,0.0,0.0
112,Jordan Howard,PHI,RB,14.9,64.4,1.0,0.4,4.6,0.0,0.0,0.0,0.0,0,0.0,0.0
113,Jeremy McNichols,TEN,RB,19.1,85.7,0.3,3.6,23.1,0.0,0.0,0.0,0.0,0,0.0,0.0
114,Rico Dowdle,DAL,RB,15.6,65.1,0.5,3.3,26.4,0.1,0.0,0.0,0.0,0,0.0,0.0
115,Trey Edmunds,PIT,RB,14.8,64.0,0.4,3.9,25.8,0.2,0.0,0.0,0.0,0,0.0,0.0
116,Theo Riddick,LV,RB,8.0,35.0,0.0,11.0,88.0,0.0,0.0,0.0,0.0,0,0.0,0.0
117,Ty Montgomery,NO,RB,13.9,51.9,0.1,6.5,51.2,0.2,0.1,0.0,0.0,0,0.0,0.0
118,Jordan Wilkins,IND,RB,14.6,72.4,0.4,1.7,12.3,0.1,0.0,0.0,0.0,0,0.0,0.0
119,Ke'Shawn Vaughn,TB,RB,14.9,63.5,0.5,2.4,16.5,0.1,0.0,0.0,0.0,0,0.0,0.0
120,D'Ernest Johnson,CLE,RB,18.2,77.9,0.4,2.3,16.9,0.0,0.1,0.0,0.0,0,0.0,0.0
121,Gary Brightwell,NYG,RB,16.1,69.4,0.3,2.6,18.9,0.0,0.1,0.0,0.0,0,0.0,0.0
122,Ameer Abdullah,MIN,RB,12.6,50.1,0.1,5.4,38.5,0.2,0.1,0.0,0.0,0,0.0,0.0
123,Devonta Freeman,NO,RB,9.1,37.1,0.3,4.2,33.8,0.2,0.0,0.0,0.0,0,0.0,0.0
124,Alec Ingold,LV,RB,4.5,18.8,0.2,6.6,54.6,0.3,0.1,0.0,0.0,0,0.0,0.0
125,Patrick Ricard,BAL,RB,0.9,1.4,0.0,8.5,58.1,0.8,0.5,0.0,0.0,0,0.0,0.0
126,C.J. Ham,MIN,RB,4.7,19.9,0.2,5.9,50.0,0.3,0.1,0.0,0.0,0,0.0,0.0
